C,SF,S,QP,W,SP,F,WB,T,CT,SPB,FT,FL,FD,ST,A,CS
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,185.2
1076.77,286.23,1090.8,0.0,272.6,46.2,0.0,0.2,23,1,1,0,0.0,0.0,1,28,184.5
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,184.4
998.8,176.25,954.5,0.0,141.0,81.7,14.982,0.12,23,1,1,5,13.0,0.018,1,28,184.4
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,16.0,0.2,1,56,184.2
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,184.0
788.0,197.0,866.8,315.0,173.0,14.77,19.7,0.18,23,1,1,6,13.0,0.16,1,28,184.0
960.0,240.0,798.8,0.0,234.0,39.0,9.6,0.2,23,1,1,5,13.0,0.018,1,56,183.7
960.0,240.0,793.9,0.0,234.0,42.0,7.2,0.2,23,1,1,5,13.0,0.018,1,56,183.4
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,8.0,0.2,1,56,183.2
784.0,261.0,1045.0,0.0,171.0,20.9,23.52,0.16,23,1,1,6,13.0,0.2,1,28,182.9
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,182.4
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,182.4
788.0,197.0,866.8,315.0,173.0,14.77,19.7,0.18,23,1,1,6,6.0,0.16,1,28,182.3
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,12.0,0.2,1,28,182.1
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,181.7
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,181.0
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,181.0
998.8,176.25,975.0,0.0,141.0,78.7,9.988,0.12,23,1,1,5,13.0,0.018,1,28,181.0
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,180.8
958.55,50.45,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,180.8
960.0,240.0,788.9,0.0,234.0,45.0,4.8,0.2,23,1,1,5,13.0,0.018,1,56,180.6
960.0,240.0,793.7,0.0,234.0,45.0,0.0,0.2,23,1,1,0,0.0,0.0,1,90,180.4
960.0,240.0,740.7,0.0,234.0,45.0,156.0,0.2,23,1,1,1,13.0,0.2,1,90,180.3
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,180.3
998.8,176.25,930.6,0.0,164.5,55.2,24.97,0.14,23,1,1,5,13.0,0.018,1,28,180.1
998.8,176.25,946.8,0.0,164.5,54.1,19.976,0.14,23,1,1,5,13.0,0.018,1,28,180.1
998.8,176.25,962.9,0.0,164.5,52.9,14.982,0.14,23,1,1,5,13.0,0.018,1,28,180.1
958.55,50.45,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,180.1
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,8.0,0.2,1,28,180.0
788.0,197.0,866.8,315.0,173.0,14.77,19.7,0.18,23,1,1,6,13.0,0.16,1,21,180.0
998.8,176.25,900.1,0.0,164.5,62.3,29.964,0.14,23,1,1,5,13.0,0.018,1,28,179.9
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,16.0,0.2,1,28,178.9
