C,SF,S,QP,W,SP,F,WB,FT,FL,FD,A,CS
950,234,1030,95,215,12.7,234,0.18,1,13,0.2,28,158.1
960,240,720.7,0,234,57,117,0.2,1,13,0.2,28,156.2
874.9,43.7,1273.4,0,202.1,45.9,195,0.22,1,13,0.2,28,155.71
960,240,767.2,0,234,45,78,0.2,1,13,0.2,28,154.8
960,240,764.7,0,234,45,78,0.2,1,13,0.2,28,154.8
960,240,773.8,0,234,45,58.5,0.2,1,13,0.2,28,152.5
960,240,771.9,0,234,45,58.5,0.2,1,13,0.2,28,151.8
792,264,1056,0,173,21.1,156,0.16,1,13,0.2,28,150.13
960,240,780.5,0,234,45,39,0.2,1,13,0.2,28,150.1
800,267,1067,0,175,21.3,78,0.16,1,13,0.2,90,148.87
960,240,787.1,0,234,45,19.5,0.2,1,13,0.2,28,148.7
960,240,779.2,0,234,45,39,0.2,1,13,0.2,28,148.6
699.9,43.7,1273.4,175,202.1,45.9,195,0.27,1,13,0.2,28,148.32
729,182,1150,0,182,27,156,0.2,1,13,0.2,28,148
817,204,1102,0,204,25,156,0.2,1,13,0.2,28,147.5
874.9,43.7,1273.4,0,202.1,45.9,156,0.22,1,13,0.2,28,146.31
890,222,799,0,222,29.6,119,0.2,1,13,0.25,7,146.1
825,206,1114,0,206,25,78,0.2,1,13,0.2,28,145.5
950,200,690,350,230,53,234,0.2,1,13,0.2,28,144.7
960,240,786.4,0,234,45,19.5,0.2,1,13,0.2,28,144.5
950,200,810,350,230,53,234,0.2,1,13,0.2,28,144.5
741,185,815,259,185,9,156,0.2,1,13,0.2,7,144
900,220,1005,0,163,40,156,0.15,1,13,0.2,28,143
863,216,923,0,177,32.37,156,0.16,1,13,0.2,28,142.1
950,200,570,350,230,53,234,0.2,1,13,0.2,28,140.7
699.9,43.7,1273.4,175,202.1,45.9,156,0.27,1,13,0.2,28,139.6
960,240,740.7,0,234,45,156,0.2,1,13,0.2,7,136.6
900,220,1005,0,163,40,156,0.15,1,13,0.2,14,132.9
960,240,706.2,0,234,57,156,0.2,1,13,0.2,7,132.4
874.9,43.7,1273.4,0,202.1,45.9,117,0.22,1,13,0.2,28,132.22
890,222,799,0,222,29.7,117,0.2,1,13,0.2,28,130.3
699.9,43.7,1273.4,175,202.1,45.9,117,0.27,1,13,0.2,28,130.2
960,240,720.7,0,234,57,117,0.2,1,13,0.2,7,130
800,267,1067,0,175,21.3,78,0.16,1,13,0.2,28,129.96
960,240,754,0,234,45,117,0.2,1,13,0.2,7,129.2
784,261,1045,0,171,20.9,234,0.16,1,13,0.2,7,128.07
960,240,764.7,0,234,45,78,0.2,1,13,0.2,7,127.4
960,240,767.2,0,234,45,78,0.2,1,13,0.2,7,126.9
874.9,43.7,1273.4,0,202.1,45.9,78,0.22,1,13,0.2,28,124.83
960,240,773.8,0,234,45,58.5,0.2,1,13,0.2,7,124.2
900,220,1005,0,163,40,156,0.15,1,13,0.2,7,124.1
792,264,1056,0,173,21.1,156,0.16,1,13,0.2,7,123.66
699.9,43.7,1273.4,175,202.1,45.9,195,0.27,1,13,0.2,7,122.82
960,240,771.9,0,234,45,58.5,0.2,1,13,0.2,7,122.6
960,240,780.5,0,234,45,39,0.2,1,13,0.2,7,121.8
874.9,43.7,1273.4,0,202.1,45.9,156,0.22,1,13,0.2,7,120.81
699.9,43.7,1273.4,175,202.1,45.9,78,0.27,1,13,0.2,28,120.81
960,240,779.2,0,234,45,39,0.2,1,13,0.2,7,120.2
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,191.5
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,42,189.4
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,189.3
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,184.5
750,158,444,662,189,37.5,0,0.21,0,0,0,28,184.2
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,180.8
960,240,793.7,0,234,45,0,0.2,0,0,0,90,180.4
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,180.1
810,90,1539,0,162,18,0,0.18,0,0,0,365,177
810,90,1539,0,162,18,0,0.18,0,0,0,365,177
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,176.9
800,200,980,100,200,9.6,0,0.2,0,0,0,90,175.9
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,175.3
810,90,1539,0,162,18,0,0.18,0,0,0,180,174
810,90,1539,0,162,18,0,0.18,0,0,0,180,174
960,240,793.7,0,234,45,0,0.2,0,0,0,56,173.6
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,172
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,171.4
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,21,170.9
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,28,170.9
955,239,1051,0,143,15,0,0.12,0,0,0,28,170
810,90,1539,0,162,18,0,0.18,0,0,0,90,170
810,90,1539,0,162,18,0,0.18,0,0,0,90,170
630,70,1788,0,126,18,0,0.18,0,0,0,365,169
853,170.6,1023.6,255.9,196.19,29.86,0,0.19,0,0,0,56,168.4
998.8,176.25,1010.1,0,141,75.2,0,0.12,0,0,0,28,167.6
630,70,1788,0,126,18,0,0.18,0,0,0,180,167
800,100,980,200,200,9.6,0,0.22,0,0,0,90,166.4
1151.11,211.89,1231,0,272.6,46.2,0,0.2,0,0,0,28,165.8
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,165.6
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,164.6
1151.11,211.89,1231,0,272.6,46.2,0,0.2,0,0,0,28,163.9
800,200,880,200,200,9.6,0,0.2,0,0,0,90,163.3
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,163.1
998.8,176.25,1013.9,0,164.5,49.4,0,0.14,0,0,0,28,162.2
890,222,837,0,222,29.6,0,0.2,0,0,0,28,161.9
960,240,793.7,0,234,45,0,0.2,0,0,0,180,161.3
450,50,1992,0,90,18,0,0.18,0,0,0,365,161
750,158,444,662,189,37.5,0,0.21,0,0,0,28,160.7
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,160.6
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,28,160.5
630,70,1788,0,126,18,0,0.18,0,0,0,90,160
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,160
1151.11,211.89,1231,0,272.6,46.2,0,0.2,0,0,0,28,159.7
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,90,159.6
800,200,1080,0,200,14.4,0,0.2,0,0,0,28,159.2
450,50,1992,0,90,18,0,0.18,0,0,0,180,159
853,170.6,1023.6,255.9,196.19,29.86,0,0.19,0,0,0,28,158.9
750,158,444,662,189,37.5,0,0.21,0,0,0,28,157.8
960,240,793.7,0,234,45,0,0.2,0,0,0,28,157.8
922,230,1152,0,184,11.52,0,0.16,0,0,0,28,156.8
1251.2,291.3,407.8,0,201.4,28.2,0,0.13,0,0,0,56,156.53
960,240,793.7,0,234,45,0,0.2,0,0,0,90,156.1
958.55,50.45,1231,0,201.8,34.2,0,0.2,0,0,0,90,155.2
998.8,176.25,1010.1,0,141,75.2,0,0.12,0,0,0,14,153.3
450,50,1992,0,90,18,0,0.18,0,0,0,90,151
900,108,1000,0,161.28,18,0,0.16,0,0,0,28,151
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,150.2
960,240,793.7,0,234,45,0,0.2,0,0,0,56,150.1
810,90,1539,0,162,18,0,0.18,0,0,0,56,150
810,90,1539,0,162,18,0,0.18,0,0,0,56,150
1009,0,1231,0,201.8,34.2,0,0.2,0,0,0,90,149.7
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,149.6
853,170.6,1023.6,255.9,196.19,29.86,0,0.19,0,0,0,14,149.5
1251.2,291.3,407.8,0,201.4,28.2,0,0.13,0,0,0,56,149.2
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,149
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,149
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,148.9
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,148.4
750,158,444,662,189,37.5,0,0.21,0,0,0,28,148.2
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,90,148.2
870,131,1238,0,180,8,0,0.2,0,0,0,28,148
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,90,148
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,56,147.8
800,100,980,200,200,9.6,0,0.22,0,0,0,28,147.3
1251.2,291.3,407.8,0,201.4,28.2,0,0.13,0,0,0,28,147.27
833,208,1125,0,208,25,0,0.2,0,0,0,28,147
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,56,147
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,146.8
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,146.7
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,56,146.6
800,200,980,100,200,9.6,0,0.2,0,0,0,28,146.5
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,146.5
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,28,146.5
998.8,176.25,1013.9,0,164.5,49.4,0,0.14,0,0,0,14,146.1
630,70,1788,0,126,18,0,0.18,0,0,0,56,146
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,90,146
750,158,444,662,189,37.5,0,0.21,0,0,0,28,145.9
750,158,444,662,189,37.5,0,0.21,0,0,0,28,145.9
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,145.8
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,145.6
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,145.4
750,158,444,662,189,37.5,0,0.21,0,0,0,28,145.2
750,158,444,662,189,37.5,0,0.21,0,0,0,28,145.2
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,145.1
870,131,1183,0,200,9,0,0.2,0,0,0,28,145
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,144.8
828,207,911,248,186.4,21,0,0.18,0,0,0,28,144.6
850,212.5,935,255,212.5,21.2,0,0.2,0,0,0,28,144.6
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,56,144.1
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,143.7
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,143.6
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,143.5
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,28,143.5
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,143
870,131,1185,0,200,8,0,0.2,0,0,0,28,142
750,150,1362,0,162,7.2,0,0.2,0,0,0,28,142
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,141.6
800,200,880,200,200,9.6,0,0.2,0,0,0,28,141.3
1251.2,291.3,407.8,0,201.4,28.2,0,0.13,0,0,0,28,141.3
800,100,980,200,200,9.6,0,0.22,0,0,0,90,141.1
870,131,1132,0,220,8,0,0.2,0,0,0,28,141
1251.2,291.3,407.8,0,201.4,28.2,0,0.13,0,0,0,14,140.83
750,158,444,662,189,37.5,0,0.21,0,0,0,28,140.7
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,28,140.4
936,140.4,1170,0,224.64,28.08,0,0.21,0,0,0,28,140.1
750,150,1315,0,180,7.2,0,0.2,0,0,0,28,140
870,131,1188,0,200,7,0,0.2,0,0,0,28,140
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,139.4
1009,0,1231,0,201.8,34.2,0,0.2,0,0,0,90,139.3
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,90,139.1
833,167,1166,0,200,8,0,0.2,0,0,0,28,139
450,50,1992,0,90,18,0,0.18,0,0,0,56,139
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,28,138.9
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,138.9
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,138.9
750,158,444,662,189,37.5,0,0.21,0,0,0,28,138.8
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,138.8
950,255,873,0,189,31,0,0.16,0,0,0,90,138.7
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,138.7
890,222,837,0,222,29.6,0,0.2,0,0,0,7,138.6
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,138.4
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,90,138.4
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,56,138
998.8,176.25,1010.1,0,141,75.2,0,0.12,0,0,0,7,137.9
853,170.6,1023.6,255.9,196.19,29.86,0,0.19,0,0,0,7,137.9
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,90,137.9
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,28,137.4
810,90,1539,0,162,18,0,0.18,0,0,0,28,137
810,90,1539,0,162,18,0,0.18,0,0,0,28,137
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,136.9
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,90,136.8
960,240,793.7,0,234,45,0,0.2,0,0,0,28,136.6
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,136.4
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,56,136.4
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,136.3
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,136.3
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,90,136.3
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,90,136.1
805,224,971,0,195,15,0,0.19,0,0,0,28,136
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,135.8
756.5,133.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,135.7
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,56,135.5
750,158,444,662,189,37.5,0,0.21,0,0,0,28,135.4
1251.2,291.3,407.8,0,201.4,28.2,0,0.13,0,0,0,14,135.1
750,150,1312,0,180,8.1,0,0.2,0,0,0,28,135
783,117,1333,0,180,7.2,0,0.2,0,0,0,28,135
630,70,1788,0,126,18,0,0.18,0,0,0,28,135
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,135
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,134.8
788,197,866.8,315,173,14.77,0,0.18,0,0,0,21,134.7
788,197,866.8,315,173,14.77,0,0.18,0,0,0,28,134.7
801,89,1401.2,0,178,30.2,0,0.2,0,0,0,28,134.6
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,134.2
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,56,134.2
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,90,134.1
750,150,1317,0,180,6.3,0,0.2,0,0,0,28,134
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,134
863,216,1079,0,194.22,43.16,0,0.18,0,0,0,28,133.6
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,90,133.1
696,104,1522,0,144,6.4,0,0.2,0,0,0,28,133
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,132.9
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,132.8
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,132.8
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,28,132.8
850,150,1224,0,180,11.99,0,0.18,0,0,0,28,132.59
950,255,873,0,189,31,0,0.16,0,0,0,28,132.5
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,132.5
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,56,132.1
750,158,444,662,189,37.5,0,0.21,0,0,0,28,131.9
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,28,131.8
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,131.7
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,131.7
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,56,131.4
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,90,131.2
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,90,131.1
450,50,1992,0,90,18,0,0.18,0,0,0,28,131
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,56,130.7
720,80,1422.9,0,160,29.6,0,0.2,0,0,0,90,130.3
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,28,130.3
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,28,130.2
850,150,1173,0,200,14.03,0,0.2,0,0,0,28,129.95
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,28,129.7
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,28,129.5
1009,0,1231,0,201.8,34.2,0,0.2,0,0,0,56,129.3
958.55,50.45,1231,0,201.8,34.2,0,0.2,0,0,0,56,129
998.8,176.25,1013.9,0,164.5,49.4,0,0.14,0,0,0,7,129
850.34,149.66,1224.49,0,180,11.99,0,0.18,0,0,0,7,128.9
1076.77,286.23,1090.8,0,272.6,46.2,0,0.2,0,0,0,28,128.7
720,180,1353.6,0,162,10.8,0,0.18,0,0,0,28,128.2
850,150,1173,0,200,11.99,0,0.2,0,0,0,28,128.1
696,104,1477,0,160,7.2,0,0.2,0,0,0,28,128
750,150,1267,0,198,7.2,0,0.2,0,0,0,28,128
801,89,1231,0,178,30.2,0,0.2,0,0,0,90,127.6
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,28,127.6
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,7,127.5
712,178,1401.2,0,178,30.2,0,0.2,0,0,0,28,127.5
801,89,1231,0,178,30.2,0,0.2,0,0,0,56,127.4
720,180,1296,0,180,12.6,0,0.2,0,0,0,28,127.32
850,150,1181.5,0,200,10.03,0,0.2,0,0,0,28,127.32
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,56,126.8
800,200,1160,0,200,12,0,0.2,0,0,0,28,126.6
809,270,1079,0,177,21.6,0,0.16,0,0,0,90,126.5
1009,0,1231,0,201.8,34.2,0,0.2,0,0,0,56,126.2
845.5,44.5,1231,0,178,30.2,0,0.2,0,0,0,90,126.2
850.34,149.66,1173.47,0,200,14.03,0,0.2,0,0,0,7,126.2
696,104,1479,0,160,6.4,0,0.2,0,0,0,28,126
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,56,125.7
720,180,1310.4,0,180,9,0,0.2,0,0,0,28,125.56
788,197,866.8,315,173,14.77,0,0.18,0,0,0,14,125.5
845.5,44.5,1231,0,178,30.2,0,0.2,0,0,0,90,125.4
720,80,1422.9,0,160,29.6,0,0.2,0,0,0,90,125.3
750,158,444,662,189,37.5,0,0.21,0,0,0,28,125
800,200,1148,0,200,8,0,0.2,0,0,0,28,125
696,104,1481,0,160,5.6,0,0.2,0,0,0,28,125
750,250,1140,0,200,12,0,0.2,0,0,0,28,125
1251.2,291.3,407.8,0,201.4,28.2,0,0.13,0,0,0,7,124.94
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,28,124.9
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,56,124.5
720,180,1353.6,0,162,10.8,0,0.18,0,0,0,7,124.3
720,180,1303.2,0,180,10.8,0,0.2,0,0,0,28,124.2
720,80,1422.9,0,160,29.6,0,0.2,0,0,0,56,124.2
845.5,44.5,1231,0,178,30.2,0,0.2,0,0,0,56,124.1
800,0,1471.3,0,160,21.6,0,0.2,0,0,0,90,124.1
828,207,911,248,186.4,21,0,0.18,0,0,0,7,124.1
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,7,124
960,240,793.7,0,234,45,0,0.2,0,0,0,7,124
720,180,1296,0,180,12.6,0,0.2,0,0,0,7,124
850.34,149.66,1173.47,0,200,11.99,0,0.2,0,0,0,7,124
800,200,1160,0,200,12,0,0.2,0,0,0,7,123.5
850.34,149.66,1181.97,0,200,10.03,0,0.2,0,0,0,7,123.5
675,225,1289.25,0,180,10.8,0,0.2,0,0,0,28,123.4
850,212.5,935,255,212.5,21.2,0,0.2,0,0,0,28,123.2
809,270,1079,0,177,21.6,0,0.16,0,0,0,28,123.2
680,120,1502.8,0,144,9.59,0,0.18,0,0,0,28,122.93
850,150,1122,0,220,11.99,0,0.22,0,0,0,28,122.93
765,135,1315.8,0,180,10.79,0,0.2,0,0,0,28,122.6
890,222,837,0,222,29.6,0,0.2,0,0,0,28,122.4
720,180,1310.4,0,180,9,0,0.2,0,0,0,7,122.3
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,28,122.1
680,120,1462,0,160,11.22,0,0.2,0,0,0,28,122.05
720,180,1260,0,198,10.8,0,0.22,0,0,0,28,122.05
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,7,121.9
890,0,1401.2,0,178,30.2,0,0.2,0,0,0,28,121.4
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,7,121.3
958.55,50.45,1456.8,0,201.8,34.2,0,0.2,0,0,0,7,121.3
756.5,133.5,1231,0,178,30.2,0,0.2,0,0,0,90,120.9
845.5,44.5,1401.2,0,178,30.2,0,0.2,0,0,0,7,120.9
750.19,249.81,1140.29,0,200,12,0,0.2,0,0,0,7,120.8
720,80,1422.9,0,160,29.6,0,0.2,0,0,0,28,120.7
720,180,1303.2,0,180,10.8,0,0.2,0,0,0,7,120.6
1009,0,1456.8,0,201.8,34.2,0,0.2,0,0,0,7,120.5
1116.7,390.85,625.35,0,212.17,23.45,0,0.14,0,0,0,7,120.2
845.5,44.5,1231,0,178,30.2,0,0.2,0,0,0,56,120.1
756.5,133.5,1231,0,178,30.2,0,0.2,0,0,0,56,120.1
720,180,1298,0,180,7.2,0,0.2,0,0,0,28,120
667,133,1463,0,160,6.4,0,0.2,0,0,0,28,120
