C,SF,S,QP,W,SP,F,WB,FT,FL,FD,A,CS
788,197,866.8,315,173,14.77,15.76,0.18,1,6,0.16,21,159.2
850,212.5,935,255,212.5,21.2,25.5,0.2,1,12,0.2,28,159.1
1076.77,286.23,1090.8,0,272.6,46.2,32.3031,0.2,1,12.7,0.2,28,158.2
960,240,740.7,0,234,45,19.2,0.2,1,6,0.16,7,157.8
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,16,0.2,7,156.8
828,207,911,248,186.4,21,24.84,0.18,1,12,0.2,7,156.8
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,91,156.8
853,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,1,12,0.2,14,156.8
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,91,156.5
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,90,156.3
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,8,0.2,7,155.8
788,197,866.8,315,173,14.77,19.7,0.18,1,13,0.16,7,155.8
853,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,1,16,0.2,14,155.8
741,185,815,259,185,9,14.82,0.2,1,13,0.2,28,154.9
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,12,0.2,7,154.7
853,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,1,8,0.2,14,154.7
900,108,1000,0,161.28,18,11.25,0.16,1,35,0.603,28,154.1
1116.7,390.85,625.35,0,212.17,23.45,44.668,0.14,1,13,0.2,7,153.2
788,197,866.8,315,173,14.77,15.76,0.18,1,6,0.16,14,152.8
788,197,866.8,315,173,14.77,19.7,0.18,1,6,0.16,7,152.6
784,261,1045,0,171,20.9,23.52,0.16,1,13,0.2,28,152
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,16,0.2,7,150.5
741,185,815,259,185,9,14.82,0.2,1,13,0.2,91,150.4
960,240,960,0,207,24,76.8,0.17,1,13,0.18,28,150.2
788,197,866.8,315,173,14.77,15.76,0.18,1,13,0.16,7,150.2
800,267,1067,0,175,21.3,8,0.16,1,13,0.2,28,150.2
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,8,0.2,7,149.5
960,240,754,0,234,45,14.4,0.2,1,6,0.16,7,149.2
850,212.5,935,255,212.5,21.2,25.5,0.2,1,12,0.2,28,148.7
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,12,0.2,7,148.4
1116.7,390.85,625.35,0,212.17,23.45,22.334,0.14,1,13,0.2,28,148.1
784,261,1045,0,171,20.9,23.52,0.16,1,13,0.2,7,147.8
960,240,767.2,0,234,45,9.6,0.2,1,6,0.16,7,146.7
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,28,145.7
1116.7,390.85,625.35,0,212.17,23.45,55.835,0.14,1,13,0.2,7,145
800,267,1067,0,175,21.3,8,0.16,1,13,0.2,90,144.8
863,216,1079,0,194.22,43.16,8.63,0.18,1,13,0.2,28,144.7
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,28,144.4
853,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,1,16,0.2,7,144.2
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,28,143.6
960,240,773.8,0,234,45,7.2,0.2,1,6,0.16,7,143.5
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,7,142.8
1116.7,390.85,625.35,0,212.17,23.45,33.501,0.14,1,13,0.2,21,142.6
853,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,1,8,0.2,7,142.1
853,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,1,12,0.2,7,142.1
1116.7,390.85,625.35,0,212.17,23.45,33.501,0.14,1,13,0.2,7,141.4
1116.7,390.85,625.35,0,212.17,23.45,22.334,0.14,1,13,0.2,28,141.1
960,240,780.5,0,234,45,4.8,0.2,1,6,0.16,7,140.6
1116.7,390.85,625.35,0,212.17,23.45,22.334,0.14,1,13,0.2,28,140.5
1000,250,1000,0,200,50,15,0.16,1,12,0.2,28,140
960,240,787.1,0,234,45,2.4,0.2,1,6,0.16,7,137.7
828,207,911,248,186.4,21,24.84,0.18,1,12,0.2,3,136.6
960,240,960,0,260,24,76.8,0.22,1,13,0.18,28,136.4
960,240,960,0,228,24,76.8,0.19,1,13,0.18,28,136.1
950,255,873,0,189,31,23.75,0.16,1,13,0.2,90,135.6
1116.7,390.85,625.35,0,212.17,23.45,22.334,0.14,1,13,0.2,7,135.5
1076.77,286.23,1090.8,0,272.6,46.2,32.3031,0.2,1,12.7,0.2,28,135.1
960,240,960,0,286,24,76.8,0.24,1,13,0.18,28,132.6
788,197,866.8,315,173,14.77,15.76,0.18,1,6,0.16,7,132.4
950,255,873,0,189,31,23.75,0.16,1,13,0.2,28,130.8
1116.7,390.85,625.35,0,212.17,23.45,44.668,0.14,1,13,0.2,28,129.6
1000,250,1000,0,200,50,10,0.16,1,12,0.2,28,129.5
800,267,1067,0,175,21.3,8,0.16,1,13,0.2,7,128.1
800,267,1067,0,175,21.3,8,0.16,1,13,0.2,28,126.6
784,261,1045,0,171,20.9,23.52,0.16,1,13,0.2,7,123.2
784,261,1045,0,171,20.9,23.52,0.16,1,13,0.2,3,122.4
741,185,815,259,185,9,14.82,0.2,1,13,0.2,7,121.3
960,240,698.3,0,234,78,14.4,0.2,5,13,0.018,90,194.3
960,240,649.3,0,234,96,19.2,0.2,5,13,0.018,90,193.4
960,240,798.8,0,234,39,9.6,0.2,5,13,0.018,90,191.1
960,240,793.9,0,234,42,7.2,0.2,5,13,0.018,90,188.9
960,240,788.9,0,234,45,4.8,0.2,5,13,0.018,90,188.3
960,240,698.3,0,234,78,14.4,0.2,5,13,0.018,56,188.1
960,240,649.3,0,234,96,19.2,0.2,5,13,0.018,56,186.6
960,240,791.3,0,234,45,2.4,0.2,5,13,0.018,90,185.8
998.8,176.25,954.5,0,141,81.7,14.982,0.12,5,13,0.018,28,184.4
960,240,798.8,0,234,39,9.6,0.2,5,13,0.018,56,183.7
998.8,176.25,920.8,0,141,84.6,24.97,0.12,5,13,0.018,28,183.5
998.8,176.25,942.7,0,141,82.8,19.976,0.12,5,13,0.018,28,183.5
998.8,176.25,898.7,0,141,88.2,29.964,0.12,5,13,0.018,28,183.4
960,240,793.9,0,234,42,7.2,0.2,5,13,0.018,56,183.4
998.8,176.25,975,0,141,78.7,9.988,0.12,5,13,0.018,28,181
960,240,788.9,0,234,45,4.8,0.2,5,13,0.018,56,180.6
998.8,176.25,930.6,0,164.5,55.2,24.97,0.14,5,13,0.018,28,180.1
998.8,176.25,946.8,0,164.5,54.1,19.976,0.14,5,13,0.018,28,180.1
998.8,176.25,962.9,0,164.5,52.9,14.982,0.14,5,13,0.018,28,180.1
998.8,176.25,900.1,0,164.5,62.3,29.964,0.14,5,13,0.018,28,179.9
998.8,176.25,981.9,0,164.5,50.5,9.988,0.14,5,13,0.018,28,178.6
960,240,791.3,0,234,45,2.4,0.2,5,13,0.018,56,178.4
960,240,698.3,0,234,78,14.4,0.2,5,13,0.018,28,177.3
960,240,649.3,0,234,96,19.2,0.2,5,13,0.018,28,174.3
960,240,798.8,0,234,39,9.6,0.2,5,13,0.018,28,172
960,240,793.9,0,234,42,7.2,0.2,5,13,0.018,28,171.1
998.8,176.25,991.1,0,141,77.6,4.994,0.12,5,13,0.018,28,169.1
960,240,788.9,0,234,45,4.8,0.2,5,13,0.018,28,165.8
998.8,176.25,998,0,164.5,49.4,4.994,0.14,5,13,0.018,28,164.5
998.8,176.25,954.5,0,141,81.7,14.982,0.12,5,13,0.018,14,164.3
998.8,176.25,920.8,0,141,84.6,24.97,0.12,5,13,0.018,14,164.2
998.8,176.25,942.7,0,141,82.8,19.976,0.12,5,13,0.018,14,164.2
998.8,176.25,898.7,0,141,88.2,29.964,0.12,5,13,0.018,14,163.8
998.8,176.25,975,0,141,78.7,9.988,0.12,5,13,0.018,14,162
960,240,791.3,0,234,45,2.4,0.2,5,13,0.018,28,161.1
998.8,176.25,962.9,0,164.5,52.9,14.982,0.14,5,13,0.018,14,158.7
998.8,176.25,946.8,0,164.5,54.1,19.976,0.14,5,13,0.018,14,158.4
998.8,176.25,900.1,0,164.5,62.3,29.964,0.14,5,13,0.018,14,158.2
998.8,176.25,930.6,0,164.5,55.2,24.97,0.14,5,13,0.018,14,158.2
998.8,176.25,991.1,0,141,77.6,4.994,0.12,5,13,0.018,14,157.5
998.8,176.25,981.9,0,164.5,50.5,9.988,0.14,5,13,0.018,14,152
998.8,176.25,954.5,0,141,81.7,14.982,0.12,5,13,0.018,7,151.7
998.8,176.25,898.7,0,141,88.2,29.964,0.12,5,13,0.018,7,151.3
998.8,176.25,920.8,0,141,84.6,24.97,0.12,5,13,0.018,7,151.3
998.8,176.25,942.7,0,141,82.8,19.976,0.12,5,13,0.018,7,151.1
960,240,698.3,0,234,78,14.4,0.2,5,13,0.018,7,149
998.8,176.25,998,0,164.5,49.4,4.994,0.14,5,13,0.018,14,147.5
998.8,176.25,975,0,141,78.7,9.988,0.12,5,13,0.018,7,146.1
960,240,649.3,0,234,96,19.2,0.2,5,13,0.018,7,146
960,240,798.8,0,234,39,9.6,0.2,5,13,0.018,7,143.7
998.8,176.25,962.9,0,164.5,52.9,14.982,0.14,5,13,0.018,7,143.5
998.8,176.25,930.6,0,164.5,55.2,24.97,0.14,5,13,0.018,7,143.2
998.8,176.25,946.8,0,164.5,54.1,19.976,0.14,5,13,0.018,7,143.2
998.8,176.25,900.1,0,164.5,62.3,29.964,0.14,5,13,0.018,7,143
998.8,176.25,991.1,0,141,77.6,4.994,0.12,5,13,0.018,7,142.4
960,240,793.9,0,234,42,7.2,0.2,5,13,0.018,7,140.6
998.8,176.25,981.9,0,164.5,50.5,9.988,0.14,5,13,0.018,7,137.6
960,240,788.9,0,234,45,4.8,0.2,5,13,0.018,7,137.4
960,240,791.3,0,234,45,2.4,0.2,5,13,0.018,7,134
998.8,176.25,998,0,164.5,49.4,4.994,0.14,5,13,0.018,7,131.6
828,207,911,248,186.4,21,24.84,0.18,4,10,0.44,28,175.3
922,230,1152,0,184,11.52,13.83,0.16,4,12,0.018,28,168.2
922,230,1152,0,184,11.52,9.22,0.16,4,12,0.018,28,167.5
828,207,911,248,186.4,21,16.56,0.18,4,10,0.44,28,165.6
922,230,1152,0,184,11.52,4.61,0.16,4,12,0.018,28,163.7
922,230,1152,0,184,11.52,16.135,0.16,4,12,0.018,28,163.4
1000,250,1000,0,200,50,10,0.16,4,12,0.018,28,159.6
